Distribuidora,UF,Ranking,Tarifa Convencional,Tarifa Branca - Ponta,Tarifa Branca - Intermediária,Tarifa Branca - Fora ponta,Resolução Homologatória,Início de vigência
Energisa PB,PB,81,"0,676","1,478","0,948","0,570",3518/2025,2026-01-01 00:00:00
Energisa RO,RO,32,"0,841","1,896","1,196","0,681",3560/2025,2026-01-01 00:00:00
Energisa SE,SE,68,"0,712","1,528","0,969","0,579",3444/2025,2026-01-01 00:00:00
Energisa Sul Sudeste (agrupada),SP,56,"0,746","1,405","0,931","0,642",3480/2025,2026-01-01 00:00:00
Energisa TO,TO,17,"0,930","2,283","1,439","0,765",3479/2025,2026-01-01 00:00:00
Equatorial AL,AL,41,"0,808","1,749","1,122","0,658",3450/2025,2026-01-01 00:00:00
Equatorial CEA,AP,40,"0,808","1,769","1,126","0,648",3430/2024,2026-01-01 00:00:00
Equatorial CEEE,RS,37,"0,822","1,574","1,044","0,701",3547/2025,2026-01-01 00:00:00
Equatorial GO,GO,21,"0,892","1,698","1,122","0,728",3544/2025,2026-01-01 00:00:00
Equatorial MA,MA,30,"0,843","1,926","1,230","0,699",3512/2025,2026-01-01 00:00:00
Equatorial PA,PA,11,"0,978","2,081","1,348","0,784",3507/2025,2026-01-01 00:00:00
Equatorial PI,PI,15,"0,947","2,080","1,337","0,773",3555/2025,2026-01-01 00:00:00
Hidropan,RS,96,"0,605","1,275","0,755","0,431",3488/2025,2026-01-01 00:00:00
Light,RJ,35,"0,824","1,572","1,061","0,717",3474/2025,2026-01-01 00:00:00
MuxEnergia,RS,70,"0,702","1,582","0,911","0,497",3489/2025,2026-01-01 00:00:00
Neoenergia Brasília,DF,34,"0,827","1,354","0,925","0,721",3542/2025,2026-01-01 00:00:00
Neoenergia Coelba,BA,33,"0,838","1,723","1,101","0,645",3443/2025,2026-01-01 00:00:00
Neoenergia Cosern,RN,58,"0,744","1,590","1,011","0,624",3442/2025,2026-01-01 00:00:00
Neoenergia Elektro,SP,43,"0,796","1,400","0,930","0,643",3510/2025,2026-01-01 00:00:00
Neoenergia Pernambuco,PE,52,"0,769","1,663","1,072","0,651",3451/2025,2026-01-01 00:00:00
Nova Palma,RS,63,"0,734","1,525","0,981","0,592",3490/2025,2026-01-01 00:00:00
Pacto Energia,PR,87,"0,642","1,150","0,767","0,540",3509/2025,2026-01-01 00:00:00
RGE (agrupada),RS,36,"0,822","1,594","1,036","0,650",3473/2025,2026-01-01 00:00:00
Roraima Energia,RR,48,"0,789","1,415","0,946","0,675",3565/2026,2026-01-25 00:00:00
Sulgipe,SE,80,"0,679","1,494","0,948","0,537",3453/2025,2026-01-01 00:00:00
